adj,noun
wenig,Minuten
unglaublich,Blick
viel,Holz
klar,Optik
freundlich,Service
jeder,Fall
positive,Gefühl
groß,Anteil
weiter,Vorzug
jung,Hotel
edel,Spa
regional,Küche
fantastich,Lounge
japanisch,Badekultur
eng,Beziehung
japanisch,Thermalbad
traditionell,Heißwasserbecken
vielfältig,Landschaft
finnisch,Sauna
breit,Angebot
besonder,Reiz
öffentlich,Bereich
jeder,Komfort
erdenklich,Komfort
flächig,Holzinterieur
hell,Holzinterieur
groß,Fenster
japanisch,Element
hauseigen,Design
toll,Blick
klein,Strand
atemberaubend,Blick
gut,Küche
entspannt,Atmosphäre
leiblich,Wohl
reichhaltig,Frühstück
klein,Karte
ausgezeichnet,Küche 
möbliert,Lounge
schön,Außenpool
großzügig,Außenpool
möbliert,Liegewiese
nördlich,Seeufer
herrschaftlich,Pfarrhaus
sein,Zimmer
lichtdurchflutet,Wintergarten
gehoben,Gastlichkeit
größtmöglich,Komfort
individuell,Service
mehrer,Tagungsraum
luxuriös,Angebot
elegant,Atmosphäre
historisch,Ambiente
barock,Charme
modern,Komfort
schlicht,Eleganz
hell,Leichtigkeit
warm,Ton
einzigartig,Weise
kraftig,Farbe
edel,Antiquitäten
zeitgenössisch,Kunst
all,Bereich
opulent,Pracht
geräumig,Suite
separat,WC
luxuriös,Einrichtung
edel,Stoff
hochwertig,Material
kostenlos,WLAN
ausgezeichnet,Küche
elegant,Rahmen
moderne,Küche
saisonale,Küche
französisch-mediterran,Küche
kreativ,Idee
kulinarisch,Köstlichkeit
historisch,Altstadt
direkt,Nähe
barock,Dreikönigskirche
beste,Lage
dekorativ,Fassade
romantisch,Gasse
idyllisch,Innenhof
berühmt,Sehenswürdigkeit
nah,Elbe
opulent,Frühstück
gemütlich,Bistro
mondän,Bar
opulent,Mahl
frisch,Produkt
hausgemacht,Spezialität
reichhaltig,Angebot
weiter,Service
romantisch,Frühstück
leicht,Gericht
deutsch,Gericht
regional,Gericht
klein,Snack
groß,Glaskuppeldach
lichtdurchflutet,Wintergarten
grün,Marmorboden
schimmernd,Marmorboden
gerühmt,Restaurant
altenglisch,Atmosphäre
vorzüglich,Karte
exzellent,Cocktail
gastronomisch,Angebot
exklusiv,Spa
modern,Fitnessraum
hoteleigen,Spa
neu,Spannkraft
exklusiv,Wellnessbereich
kostenfrei,Fitnessraum
modern,Gerät
natürlich,Substanz
exotisch-karibisch,Stil
finnisch,Sauna
romantisch,Kutschfahrt
ruhig,Lage
zentral,Lage
direkt,Nachbarschaft
historisch,Altstadt
geschmackvoll,Räumlichkeit
privat,Feiern
geschäftlich,Meeting
stilvoll,Suite
hell,Tagungsraum
modern,Technik
individuell,Service
klein,Hotel
hochexklusiv,Designhotel
einzigartig,Glaskuppelsuite
fantastisch,Blick
schick,Raumgestaltung
stilvoll,Spa
groß,Klasse
lang,Reihe
bildschön,Hotel
historisch,Hotel
eindrucksvoll,Glaskuppel
wilhelminisch,Architektur
edel,Ton
überraschend,Atmosphäre
klein,Spa
edel,Spa
engagiert,Service
klein,Hotel
raumhoch,Fenster
reichlich,Licht
stylisch,Einrichtung
hochkarätig,Austattung
ultrakomfortabel,Bett
regional,Küche
großzügig,Fenster
weiter,Genuss
mehrer,Sauna
verschieden,Genuss
klassisch,Massage
58,Zimmer
1730,Jahr
2010,Jahr
58,Zimmer
90,qm
2,Schlafraum
2,Bad
1,Stern
17,GaultMillau-Punkt
3,Haube
4,Diamant
2013,Jahr
13,km
15,Minuten
1.5,km
1,km
10,km
4,Räumlichkeit
120,Person
48,Zimmer
